case_id,filename,condition,severity,snr_db,tdoa_ms_ground_truth,sampling_rate_hz,duration_s
1,case_0001_normal_none_snr5db_tdoa0.75ms.csv,normal,none,5,0.75,8000,2.0
2,case_0002_normal_none_snr5db_tdoa0.75ms.csv,normal,none,5,0.75,8000,2.0
3,case_0003_normal_none_snr5db_tdoa0.75ms.csv,normal,none,5,0.75,8000,2.0
4,case_0004_normal_none_snr5db_tdoa0.75ms.csv,normal,none,5,0.75,8000,2.0
5,case_0005_normal_none_snr5db_tdoa0.75ms.csv,normal,none,5,0.75,8000,2.0
6,case_0006_normal_none_snr5db_tdoa1.25ms.csv,normal,none,5,1.25,8000,2.0
7,case_0007_normal_none_snr5db_tdoa1.25ms.csv,normal,none,5,1.25,8000,2.0
8,case_0008_normal_none_snr5db_tdoa1.25ms.csv,normal,none,5,1.25,8000,2.0
9,case_0009_normal_none_snr5db_tdoa1.25ms.csv,normal,none,5,1.25,8000,2.0
10,case_0010_normal_none_snr5db_tdoa1.25ms.csv,normal,none,5,1.25,8000,2.0
11,case_0011_normal_none_snr5db_tdoa2.00ms.csv,normal,none,5,2.0,8000,2.0
12,case_0012_normal_none_snr5db_tdoa2.00ms.csv,normal,none,5,2.0,8000,2.0
13,case_0013_normal_none_snr5db_tdoa2.00ms.csv,normal,none,5,2.0,8000,2.0
14,case_0014_normal_none_snr5db_tdoa2.00ms.csv,normal,none,5,2.0,8000,2.0
15,case_0015_normal_none_snr5db_tdoa2.00ms.csv,normal,none,5,2.0,8000,2.0
16,case_0016_normal_none_snr10db_tdoa0.75ms.csv,normal,none,10,0.75,8000,2.0
17,case_0017_normal_none_snr10db_tdoa0.75ms.csv,normal,none,10,0.75,8000,2.0
18,case_0018_normal_none_snr10db_tdoa0.75ms.csv,normal,none,10,0.75,8000,2.0
19,case_0019_normal_none_snr10db_tdoa0.75ms.csv,normal,none,10,0.75,8000,2.0
20,case_0020_normal_none_snr10db_tdoa0.75ms.csv,normal,none,10,0.75,8000,2.0
21,case_0021_normal_none_snr10db_tdoa1.25ms.csv,normal,none,10,1.25,8000,2.0
22,case_0022_normal_none_snr10db_tdoa1.25ms.csv,normal,none,10,1.25,8000,2.0
23,case_0023_normal_none_snr10db_tdoa1.25ms.csv,normal,none,10,1.25,8000,2.0
24,case_0024_normal_none_snr10db_tdoa1.25ms.csv,normal,none,10,1.25,8000,2.0
25,case_0025_normal_none_snr10db_tdoa1.25ms.csv,normal,none,10,1.25,8000,2.0
26,case_0026_normal_none_snr10db_tdoa2.00ms.csv,normal,none,10,2.0,8000,2.0
27,case_0027_normal_none_snr10db_tdoa2.00ms.csv,normal,none,10,2.0,8000,2.0
28,case_0028_normal_none_snr10db_tdoa2.00ms.csv,normal,none,10,2.0,8000,2.0
29,case_0029_normal_none_snr10db_tdoa2.00ms.csv,normal,none,10,2.0,8000,2.0
30,case_0030_normal_none_snr10db_tdoa2.00ms.csv,normal,none,10,2.0,8000,2.0
31,case_0031_normal_none_snr20db_tdoa0.75ms.csv,normal,none,20,0.75,8000,2.0
32,case_0032_normal_none_snr20db_tdoa0.75ms.csv,normal,none,20,0.75,8000,2.0
33,case_0033_normal_none_snr20db_tdoa0.75ms.csv,normal,none,20,0.75,8000,2.0
34,case_0034_normal_none_snr20db_tdoa0.75ms.csv,normal,none,20,0.75,8000,2.0
35,case_0035_normal_none_snr20db_tdoa0.75ms.csv,normal,none,20,0.75,8000,2.0
36,case_0036_normal_none_snr20db_tdoa1.25ms.csv,normal,none,20,1.25,8000,2.0
37,case_0037_normal_none_snr20db_tdoa1.25ms.csv,normal,none,20,1.25,8000,2.0
38,case_0038_normal_none_snr20db_tdoa1.25ms.csv,normal,none,20,1.25,8000,2.0
39,case_0039_normal_none_snr20db_tdoa1.25ms.csv,normal,none,20,1.25,8000,2.0
40,case_0040_normal_none_snr20db_tdoa1.25ms.csv,normal,none,20,1.25,8000,2.0
